web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972192-254","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 22, 2024","6,125.00","6,300.00","6,100.00","6,250.00","5,678.70","80,236,400"
"1765972192-255","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 21, 2024","6,225.00","6,225.00","6,125.00","6,150.00","5,587.84","76,579,300"
"1765972192-256","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 20, 2024","6,325.00","6,350.00","6,200.00","6,225.00","5,655.98","68,707,200"
"1765972192-257","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 19, 2024","6,375.00","6,375.00","6,225.00","6,250.00","5,678.70","95,495,700"
"1765972192-258","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 18, 2024","6,350.00","6,425.00","6,225.00","6,325.00","5,746.84","77,471,700"
"1765972192-259","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 15, 2024","6,300.00","6,400.00","6,300.00","6,350.00","5,769.55","41,079,700"
"1765972192-260","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 14, 2024","6,375.00","6,475.00","6,350.00","6,375.00","5,792.27","69,750,600"
"1765972192-261","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 13, 2024","6,500.00","6,550.00","6,400.00","6,425.00","5,837.70","102,748,300"
"1765972192-262","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 12, 2024","6,375.00","6,450.00","6,325.00","6,375.00","5,792.27","117,281,700"
"1765972192-263","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 11, 2024","6,300.00","6,450.00","6,150.00","6,350.00","5,769.55","125,606,000"
"1765972192-264","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 8, 2024","6,425.00","6,525.00","6,275.00","6,325.00","5,746.84","192,423,000"
"1765972192-265","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 7, 2024","6,500.00","6,550.00","6,425.00","6,425.00","5,837.70","154,758,500"
"1765972192-266","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 6, 2024","6,925.00","6,925.00","6,550.00","6,550.00","5,951.27","147,272,800"
"1765972192-267","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 5, 2024","6,725.00","6,950.00","6,675.00","6,925.00","6,291.99","88,661,200"
"1765972192-268","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 4, 2024","6,600.00","6,800.00","6,525.00","6,750.00","6,132.99","80,208,800"
"1765972192-269","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 1, 2024","6,725.00","6,725.00","6,550.00","6,650.00","6,042.13","101,423,100"
"1765972192-270","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 31, 2024","6,750.00","6,825.00","6,700.00","6,700.00","6,087.56","126,730,700"
"1765972192-271","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 30, 2024","6,575.00","6,775.00","6,575.00","6,750.00","6,132.99","122,132,700"
"1765972192-272","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 29, 2024","6,800.00","6,850.00","6,725.00","6,825.00","6,201.14","91,268,300"
"1765972192-273","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 28, 2024","7,075.00","7,075.00","6,800.00","6,825.00","6,201.14","114,500,800"
"1765972192-274","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 25, 2024","6,975.00","7,050.00","6,975.00","7,050.00","6,405.57","34,637,500"
"1765972192-275","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 24, 2024","7,000.00","7,150.00","6,975.00","6,975.00","6,337.42","65,877,100"
"1765972192-276","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 23, 2024","7,075.00","7,125.00","7,025.00","7,075.00","6,428.28","38,222,900"
"1765972192-277","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 22, 2024","7,150.00","7,175.00","7,075.00","7,075.00","6,428.28","43,582,700"
"1765972192-278","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 21, 2024","7,250.00","7,250.00","7,125.00","7,200.00","6,541.86","43,056,000"
"1765972192-279","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 18, 2024","7,275.00","7,300.00","7,175.00","7,175.00","6,519.14","57,379,200"
"1765972192-280","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 17, 2024","7,050.00","7,250.00","7,000.00","7,225.00","6,564.57","90,219,900"
"1765972192-281","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 16, 2024","7,050.00","7,075.00","6,925.00","7,000.00","6,360.14","133,022,500"
"1765972192-282","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 15, 2024","7,000.00","7,100.00","6,925.00","7,050.00","6,405.57","90,358,600"
"1765972192-283","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 14, 2024","6,925.00","6,975.00","6,900.00","6,925.00","6,291.99","55,885,300"
"1765972192-284","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 11, 2024","7,025.00","7,025.00","6,925.00","6,950.00","6,314.71","45,331,500"
"1765972192-285","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 10, 2024","6,925.00","7,050.00","6,900.00","6,950.00","6,314.71","44,291,900"
"1765972192-286","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 9, 2024","7,075.00","7,175.00","6,950.00","6,950.00","6,314.71","76,515,700"
"1765972192-287","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 8, 2024","6,825.00","7,175.00","6,775.00","7,075.00","6,428.28","132,141,500"
"1765972192-288","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 7, 2024","6,925.00","6,925.00","6,800.00","6,875.00","6,246.56","103,943,100"
"1765972192-289","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 4, 2024","7,025.00","7,050.00","6,900.00","6,950.00","6,314.71","79,485,300"
"1765972192-290","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 3, 2024","7,000.00","7,075.00","6,900.00","7,050.00","6,405.57","86,264,900"
"1765972192-291","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 2, 2024","7,025.00","7,100.00","6,925.00","6,975.00","6,337.42","91,076,400"
"1765972192-292","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Oct 1, 2024","7,000.00","7,075.00","6,950.00","7,050.00","6,405.57","82,690,100"
"1765972192-293","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 30, 2024","7,000.00","7,025.00","6,875.00","6,925.00","6,291.99","166,203,500"
"1765972192-294","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 27, 2024","7,025.00","7,125.00","7,000.00","7,050.00","6,405.57","161,405,200"
"1765972192-295","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Sep 26, 2024","7,175.00","7,200.00","7,100.00","7,175.00","6,519.14","173,044,000"
