web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1766321157-91","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 23, 2025","2,720.00","2,750.00","2,720.00","2,730.00","2,730.00","12,419,200"
"1766321157-92","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 22, 2025","2,780.00","2,790.00","2,720.00","2,720.00","2,720.00","12,550,200"
"1766321157-93","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 21, 2025","2,800.00","2,820.00","2,750.00","2,780.00","2,780.00","15,851,600"
"1766321157-94","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 18, 2025","2,800.00","2,820.00","2,760.00","2,800.00","2,800.00","22,331,400"
"1766321157-95","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 17, 2025","2,800.00","2,820.00","2,780.00","2,800.00","2,800.00","20,949,200"
"1766321157-96","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 16, 2025","2,770.00","2,790.00","2,760.00","2,780.00","2,780.00","25,834,000"
"1766321157-97","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 15, 2025","2,740.00","2,770.00","2,730.00","2,750.00","2,750.00","23,755,700"
"1766321157-98","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 14, 2025","2,800.00","2,800.00","2,680.00","2,720.00","2,720.00","57,879,700"
"1766321157-99","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 11, 2025","2,740.00","2,790.00","2,730.00","2,780.00","2,780.00","41,573,300"
"1766321157-100","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 10, 2025","2,610.00","2,720.00","2,600.00","2,710.00","2,710.00","48,144,000"
"1766321157-101","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 9, 2025","2,600.00","2,620.00","2,590.00","2,610.00","2,610.00","18,442,300"
"1766321157-102","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 8, 2025","2,550.00","2,600.00","2,540.00","2,600.00","2,600.00","14,182,200"
"1766321157-103","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 7, 2025","2,560.00","2,620.00","2,560.00","2,570.00","2,570.00","27,971,000"
"1766321157-104","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 4, 2025","2,500.00","2,580.00","2,490.00","2,550.00","2,550.00","35,498,500"
"1766321157-105","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 3, 2025","2,460.00","2,500.00","2,460.00","2,480.00","2,480.00","11,543,100"
"1766321157-106","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 2, 2025","2,510.00","2,530.00","2,440.00","2,460.00","2,460.00","16,054,400"
"1766321157-107","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 1, 2025","2,590.00","2,600.00","2,510.00","2,510.00","2,510.00","13,941,200"
"1766321157-108","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 30, 2025","2,620.00","2,620.00","2,560.00","2,580.00","2,580.00","19,986,200"
"1766321157-109","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 26, 2025","2,550.00","2,600.00","2,480.00","2,580.00","2,580.00","28,699,200"
"1766321157-110","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 25, 2025","2,570.00","2,600.00","2,500.00","2,550.00","2,550.00","26,426,600"
"1766321157-111","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 24, 2025","2,500.00","2,580.00","2,490.00","2,550.00","2,550.00","50,215,700"
"1766321157-112","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 23, 2025","2,410.00","2,460.00","2,360.00","2,440.00","2,440.00","24,628,500"
"1766321157-113","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 20, 2025","2,520.00","2,530.00","2,410.00","2,480.00","2,480.00","57,861,700"
"1766321157-114","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 19, 2025","2,570.00","2,590.00","2,520.00","2,520.00","2,520.00","40,662,600"
"1766321157-115","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 18, 2025","2,640.00","2,640.00","2,550.00","2,570.00","2,570.00","44,847,900"
"1766321157-116","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 17, 2025","2,620.00","2,750.00","2,620.00","2,640.00","2,640.00","66,509,700"
"1766321157-117","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 16, 2025","2,590.00","2,620.00","2,550.00","2,600.00","2,600.00","24,561,400"
"1766321157-118","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 13, 2025","2,600.00","2,600.00","2,560.00","2,590.00","2,590.00","23,574,400"
"1766321157-119","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 12, 2025","2,630.00","2,650.00","2,600.00","2,620.00","2,620.00","24,985,600"
"1766321157-120","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 11, 2025","2,580.00","2,640.00","2,550.00","2,620.00","2,620.00","61,283,200"
"1766321157-121","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 10, 2025","2,600.00","2,630.00","2,530.00","2,550.00","2,550.00","71,463,800"
"1766321157-122","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 5, 2025","2,580.00","2,600.00","2,460.00","2,570.00","2,570.00","116,604,600"
"1766321157-123","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 4, 2025","2,810.00","2,810.00","2,520.00","2,550.00","2,550.00","138,022,200"
"1766321157-124","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 3, 2025","2,800.00","2,870.00","2,730.00","2,780.00","2,780.00","61,669,900"
"1766321157-125","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jun 2, 2025","3,000.00","3,000.00","2,780.00","2,790.00","2,790.00","85,384,200"
"1766321157-126","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 28, 2025","2,960.00","3,020.00","2,950.00","3,000.00","3,000.00","54,043,600"
"1766321157-127","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 27, 2025","22.781273 Dividend","","","","",""
"1766321157-128","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 27, 2025","2,950.00","2,960.00","2,890.00","2,950.00","2,950.00","30,359,400"
"1766321157-129","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 26, 2025","2,940.00","3,030.00","2,940.00","2,960.00","2,937.22","72,471,800"
"1766321157-130","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 23, 2025","2,930.00","2,940.00","2,920.00","2,940.00","2,917.37","23,463,500"
"1766321157-131","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 22, 2025","2,940.00","2,950.00","2,910.00","2,920.00","2,897.53","31,030,800"
"1766321157-132","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 21, 2025","2,930.00","2,970.00","2,910.00","2,930.00","2,907.45","40,611,800"
"1766321157-133","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 20, 2025","2,860.00","2,970.00","2,860.00","2,900.00","2,877.68","45,622,500"
"1766321157-134","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 19, 2025","2,880.00","2,910.00","2,830.00","2,860.00","2,837.99","22,739,100"
"1766321157-135","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 16, 2025","2,920.00","2,940.00","2,850.00","2,870.00","2,847.91","27,922,100"
"1766321157-136","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 15, 2025","2,920.00","2,950.00","2,900.00","2,900.00","2,877.68","37,735,100"
"1766321157-137","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 14, 2025","2,850.00","2,910.00","2,830.00","2,890.00","2,867.76","55,653,600"
"1766321157-138","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 9, 2025","2,780.00","2,820.00","2,720.00","2,780.00","2,758.60","49,124,200"
"1766321157-139","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 8, 2025","2,900.00","2,910.00","2,690.00","2,730.00","2,708.99","80,049,300"
"1766321157-140","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","May 7, 2025","3,030.00","3,030.00","2,890.00","2,900.00","2,877.68","42,557,700"
