web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972550-74","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 4, 2025","4,410.00","4,410.00","4,340.00","4,370.00","4,370.00","17,346,200"
"1765972550-75","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 3, 2025","4,320.00","4,410.00","4,320.00","4,410.00","4,410.00","29,754,100"
"1765972550-76","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 2, 2025","4,340.00","4,430.00","4,290.00","4,310.00","4,310.00","28,513,000"
"1765972550-77","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 1, 2025","4,170.00","4,400.00","4,150.00","4,320.00","4,320.00","60,513,100"
"1765972550-78","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 29, 2025","4,440.00","4,460.00","4,350.00","4,380.00","4,380.00","60,711,900"
"1765972550-79","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 28, 2025","4,480.00","4,500.00","4,450.00","4,460.00","4,460.00","37,274,600"
"1765972550-80","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 27, 2025","4,500.00","4,500.00","4,400.00","4,450.00","4,450.00","45,966,700"
"1765972550-81","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 26, 2025","4,430.00","4,540.00","4,370.00","4,540.00","4,540.00","85,603,900"
"1765972550-82","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 25, 2025","4,460.00","4,520.00","4,440.00","4,450.00","4,450.00","53,434,200"
"1765972550-83","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 22, 2025","4,500.00","4,500.00","4,380.00","4,390.00","4,390.00","32,633,000"
"1765972550-84","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 21, 2025","4,420.00","4,490.00","4,400.00","4,490.00","4,490.00","60,899,400"
"1765972550-85","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 20, 2025","4,290.00","4,450.00","4,290.00","4,430.00","4,430.00","52,897,600"
"1765972550-86","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 19, 2025","4,360.00","4,360.00","4,280.00","4,330.00","4,330.00","34,407,300"
"1765972550-87","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 15, 2025","4,370.00","4,450.00","4,370.00","4,370.00","4,370.00","62,301,400"
"1765972550-88","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 14, 2025","4,400.00","4,400.00","4,360.00","4,390.00","4,390.00","43,156,900"
"1765972550-89","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 13, 2025","4,390.00","4,420.00","4,310.00","4,370.00","4,370.00","54,042,400"
"1765972550-90","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 12, 2025","4,220.00","4,420.00","4,210.00","4,360.00","4,360.00","120,908,000"
"1765972550-91","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 11, 2025","4,090.00","4,220.00","4,080.00","4,200.00","4,200.00","61,703,500"
"1765972550-92","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 8, 2025","4,090.00","4,100.00","4,070.00","4,070.00","4,070.00","43,531,000"
"1765972550-93","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 7, 2025","4,120.00","4,140.00","4,100.00","4,120.00","4,120.00","21,207,800"
"1765972550-94","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 6, 2025","4,220.00","4,230.00","4,100.00","4,100.00","4,100.00","27,975,700"
"1765972550-95","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 5, 2025","4,040.00","4,230.00","4,040.00","4,220.00","4,220.00","93,772,600"
"1765972550-96","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 4, 2025","4,000.00","4,030.00","3,990.00","4,010.00","4,010.00","30,440,700"
"1765972550-97","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Aug 1, 2025","4,050.00","4,070.00","4,010.00","4,010.00","4,010.00","32,295,500"
"1765972550-98","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 31, 2025","4,100.00","4,110.00","4,010.00","4,010.00","4,010.00","50,384,500"
"1765972550-99","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 30, 2025","4,150.00","4,160.00","4,090.00","4,120.00","4,120.00","33,919,100"
"1765972550-100","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 29, 2025","4,200.00","4,200.00","4,120.00","4,150.00","4,150.00","27,287,100"
"1765972550-101","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 28, 2025","4,110.00","4,220.00","4,090.00","4,210.00","4,210.00","45,451,600"
"1765972550-102","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 25, 2025","4,160.00","4,180.00","4,070.00","4,090.00","4,090.00","48,597,600"
"1765972550-103","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 24, 2025","4,100.00","4,250.00","4,080.00","4,220.00","4,220.00","57,276,100"
"1765972550-104","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 23, 2025","4,080.00","4,100.00","4,040.00","4,100.00","4,100.00","23,315,700"
"1765972550-105","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 22, 2025","4,090.00","4,090.00","4,040.00","4,050.00","4,050.00","32,607,800"
"1765972550-106","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 21, 2025","4,140.00","4,140.00","4,070.00","4,070.00","4,070.00","35,004,100"
"1765972550-107","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 18, 2025","4,120.00","4,150.00","4,100.00","4,120.00","4,120.00","35,072,000"
"1765972550-108","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 17, 2025","4,140.00","4,140.00","4,090.00","4,110.00","4,110.00","25,818,000"
"1765972550-109","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 16, 2025","4,130.00","4,150.00","4,080.00","4,130.00","4,130.00","66,349,800"
"1765972550-110","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 15, 2025","4,040.00","4,070.00","4,010.00","4,050.00","4,050.00","30,497,400"
"1765972550-111","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 14, 2025","4,190.00","4,190.00","4,000.00","4,040.00","4,040.00","68,377,100"
"1765972550-112","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 11, 2025","4,130.00","4,220.00","4,120.00","4,180.00","4,180.00","48,939,300"
"1765972550-113","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Jul 10, 2025","3,980.00","4,140.00","3,980.00","4,110.00","4,110.00","44,060,900"
